Number,Name,Address,Latitude,Longitude
30,00030 - NATIONS,au milieu du boulevard des Nations  à Vandoeuvre dans le prolongement de l’arrêt de bus Nations devant le centre commercial,48.662356,6.173442
29,00029 - VELODROME (CB),Place du Vélodrome,48.666721193896,6.16661978303466
1,00001 - DOMINICAINS - FOURIER (CB),Angle rue Pierre FOURIER et rue des Dominicains,48.6924654452072,6.18340055389445
33,00033 - LAXOU MAIRIE,9 av Paul Déroulède,48.684954,6.154908
6,00006 - LES 2 RIVES,2 rue Emilie du Châtelet,48.695420147586,6.19522861327582
19,00019 - COMMANDERIE - CHALNOT,Angle rue Pierre CHALNOT et rue de la Commanderie,48.6869197241039,6.17234789239391
15,00015 - PORT STE CATHERINE,Angle rue Henri BAZIN et quai Sainte-Catherine,48.6954870039528,6.1906794896667
28,00028 - MARCHÉ D'HAUSSONVILLE,Boulevard d'Haussonville,48.67227619793021,6.165710709115886
13,00013 - SAINT NICOLAS - CHARLES III,71 rue Saint-Nicolas,48.688015,6.187451
4,00004 - MARCHE CENTRAL (CB),Angle rue Saint-Dizier - Rue du Dr SCHMITT,48.6891733257851,6.18390463043762
18,00018 - GARE SAINT LEON,Angle rue Saint-Léon - Esplanade Saint-Léon,48.689560111075,6.17251545229862
35,00035 - MON DESERT,Croisement rue Mon Désert et Bd de l'American Légion,48.684141,6.176525
12,00012 - ST SEBASTIEN - ST THIEBAUT,Angle rue Saint-Thiebaut et rue du Grand Rabbin HAGUENAUER,48.6886141256403,6.17950010441818
22,00022 - HOPITAL ST JULIEN,Angle rue Molitor et rue Foller,48.6858574026886,6.19290171469907
21,00021 - HOPITAL CENTRAL,45 avenue du Maréchal de Lattre de Tassigny,48.6833502130976,6.19029660801914
5,00005 - PLACE COLONEL DRIANT,Rue Drouin - Face au n°2,48.6921301,6.1872695
14,00014 - FAC DE LETTRES,Place Godefroy de Bouillon,48.6928180794454,6.16860978784457
16,00016 - PORTE DE LA CRAFFE,Angle rue du Haut Bourgeois et place des Bourgets,48.6984724451821,6.17798553705909
9,00009 - PLACE BARROIS,Place Barrois,48.6995023285111,6.20473563987354
36,00036 - SAURUPT,100 Avenue du Général Leclerc,48.680516,6.181811
34,00034 - MALZEVILLE,Square Waldstetten  en face du 6 rue Maurice Barrès MALZEVILLE,48.707187,6.185524
3,00003 - PLACE DE DOMBASLE,Rue Stanislas - Face au n°68,48.6919579483934,6.17851021950761
26,00026 - BAUDRICOURT HAUSSONVILLE,Rue des 3 Epis Baudricourt,48.675248491826174,6.162844844269929
24,00024 - 3 MAISONS - CHARLES V (CB),rue du faubourg des 3 Maisons - Angle boulevard Charles V,48.701365,6.176824
23,00023 - PROMENADE DES CANAUX,Promenade des Canaux,48.6927939742599,6.19628435757015
7,00007 - PLACE ST EPVRE,Place du Colonel Fabien,48.6952351,6.1798109
32,00032 - MEDREVILLE,en face du 1 Boulevard Charlemagne Nancy,48.685497,6.161015
20,00020 - PLACE DES VOSGES,Angle avenue du Général Leclerc et rue du Maréchal De Lattre de Tassigny,48.684781,6.187631
37,00037 - JARDINIERS - TIERCELINS,En face du 19 rue des Jardiniers,48.691291,6.190844
31,00031 - ARTEM,en face du 119 rue du Sergent Blandan,48.674665,6.170655
8,00008 - COURS LEOPOLD - SAINT MICHEL,Angle rue Saint-Michel et cours Léopold,48.6956140662607,6.17676840786255
10,00010 - GARE THIERS (CB),Rue Mazagran,48.69037,6.175677
2,00002 - PLACE DE LA CARRIERE,Angle Place de la Carrière et rue des Maréchaux,48.6945981637388,6.18229408637817
25,00025 - PLACE COMMANDERIE,Place de la Commanderie - Face au n°13,48.6859179816784,6.1674218161464
17,00017 - CONSERVATOIRE - MANUFACTURE,27 rue Baron Louis - Angle quai Claude le Lorrain,48.6957176856775,6.17133838702303
27,00027 - NANCY THERMAL (CB),Rue du Sergent Blandan,48.679501,6.167344